Run,ENA-CHECKLIST,ENA-SPOT-COUNT,ENA-BASE-COUNT,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample,Read depth
ERR1225447,ERC000011,53587,15625029,2016-12-27,2017-01-06,ERS1039322,
ERR1225448,ERC000011,61406,17852749,2016-12-27,2017-01-06,ERS1039323,
ERR1225449,ERC000011,63439,18429935,2016-12-27,2017-01-06,ERS1039324,
ERR1225450,ERC000011,53116,15554140,2016-12-27,2017-01-06,ERS1039325,
ERR1225451,ERC000011,49321,14380227,2016-12-27,2017-01-06,ERS1039326,
ERR1225452,ERC000011,64410,18878601,2016-12-27,2017-01-06,ERS1039327,
ERR1225453,ERC000011,47376,13769007,2016-12-27,2017-01-06,ERS1039328,
ERR1225454,ERC000011,53734,15583456,2016-12-27,2017-01-06,ERS1039329,
ERR1225455,ERC000011,48566,14129398,2016-12-27,2017-01-06,ERS1039330,
ERR1225456,ERC000011,49764,14408789,2016-12-27,2017-01-06,ERS1039331,
ERR1225457,ERC000011,40148,11713467,2016-12-27,2017-01-06,ERS1039332,
ERR1225458,ERC000011,50307,14663214,2016-12-27,2017-01-06,ERS1039333,
ERR1225459,ERC000011,44942,13086857,2016-12-27,2017-01-06,ERS1039334,
ERR1225460,ERC000011,38141,11090838,2016-12-27,2017-01-06,ERS1039335,
ERR1225461,ERC000011,5536,1609739,2016-12-27,2017-01-06,ERS1039336,
ERR1225462,ERC000011,44226,12817543,2016-12-27,2017-01-06,ERS1039337,
ERR1225463,ERC000011,42567,12418961,2016-12-27,2017-01-06,ERS1039338,
ERR1225464,ERC000011,54677,15883251,2016-12-27,2017-01-06,ERS1039339,
ERR1225465,ERC000011,73516,21514215,2016-12-27,2017-01-06,ERS1039340,
ERR1225466,ERC000011,46575,13486133,2016-12-27,2017-01-06,ERS1039341,
ERR1225467,ERC000011,31395,9161533,2016-12-27,2017-01-06,ERS1039342,
ERR1225468,ERC000011,58943,17220927,2016-12-27,2017-01-06,ERS1039343,
ERR1225469,ERC000011,41228,11973351,2016-12-27,2017-01-06,ERS1039344,
ERR1225470,ERC000011,81927,23964769,2016-12-27,2017-01-06,ERS1039345,
ERR1225471,ERC000011,81427,23559668,2016-12-27,2017-01-06,ERS1039346,
ERR1225472,ERC000011,46966,13756306,2016-12-27,2017-01-06,ERS1039347,
ERR1225473,ERC000011,64238,18605723,2016-12-27,2017-01-06,ERS1039348,
ERR1225474,ERC000011,59623,17403574,2016-12-27,2017-01-06,ERS1039349,
ERR1225475,ERC000011,39372,11529263,2016-12-27,2017-01-06,ERS1039350,
ERR1225476,ERC000011,64431,18818991,2016-12-27,2017-01-06,ERS1039351,
ERR1225477,ERC000011,59909,17444375,2016-12-27,2017-01-06,ERS1039352,
ERR1225478,ERC000011,71372,20843038,2016-12-27,2017-01-06,ERS1039353,
ERR1225479,ERC000011,55604,16255727,2016-12-27,2017-01-06,ERS1039354,
ERR1225480,ERC000011,55455,16293147,2016-12-27,2017-01-06,ERS1039355,
ERR1225481,ERC000011,59675,17403027,2016-12-27,2017-01-06,ERS1039356,
ERR1225482,ERC000011,55449,16166653,2016-12-27,2017-01-06,ERS1039357,
ERR1225483,ERC000011,34403,10099163,2016-12-27,2017-01-06,ERS1039358,
ERR1225484,ERC000011,49879,14636766,2016-12-27,2017-01-06,ERS1039359,
ERR1225485,ERC000011,33568,9857453,2016-12-27,2017-01-06,ERS1039360,
ERR1225486,ERC000011,18384,5424124,2016-12-27,2017-01-06,ERS1039361,
ERR1225487,ERC000011,12938,3794960,2016-12-27,2017-01-06,ERS1039362,
ERR1225488,ERC000011,18204,5311650,2016-12-27,2017-01-06,ERS1039363,
ERR1225489,ERC000011,26390,7713537,2016-12-27,2017-01-06,ERS1039364,
ERR1225490,ERC000011,21043,6162007,2016-12-27,2017-01-06,ERS1039365,
ERR1225491,ERC000011,37015,10809917,2016-12-27,2017-01-06,ERS1039366,
ERR1225492,ERC000011,27548,8038879,2016-12-27,2017-01-06,ERS1039367,
ERR1225493,ERC000011,30734,8968515,2016-12-27,2017-01-06,ERS1039368,
ERR1225494,ERC000011,23421,6893059,2016-12-27,2017-01-06,ERS1039369,
ERR1225495,ERC000011,14941,4363227,2016-12-27,2017-01-06,ERS1039370,
ERR1225496,ERC000011,19217,5626773,2016-12-27,2017-01-06,ERS1039371,
ERR1225497,ERC000011,18070,5302086,2016-12-27,2017-01-06,ERS1039372,
ERR1225498,ERC000011,39230,11525071,2016-12-27,2017-01-06,ERS1039373,
ERR1225499,ERC000011,21673,6284774,2016-12-27,2017-01-06,ERS1039374,
ERR1225500,ERC000011,25188,7337274,2016-12-27,2017-01-06,ERS1039375,
ERR1225501,ERC000011,15140,4451924,2016-12-27,2017-01-06,ERS1039376,
ERR1225502,ERC000011,16394,4813480,2016-12-27,2017-01-06,ERS1039377,
ERR1225503,ERC000011,22536,6558295,2016-12-27,2017-01-06,ERS1039378,
ERR1225504,ERC000011,36288,10652120,2016-12-27,2017-01-06,ERS1039379,
ERR1225505,ERC000011,31901,9289394,2016-12-27,2017-01-06,ERS1039380,
ERR1225506,ERC000011,29433,8602290,2016-12-27,2017-01-06,ERS1039381,
ERR1225507,ERC000011,19696,5765816,2016-12-27,2017-01-06,ERS1039382,
ERR1225508,ERC000011,22644,6645638,2016-12-27,2017-01-06,ERS1039383,
ERR1225509,ERC000011,14911,4353290,2016-12-27,2017-01-06,ERS1039384,
ERR1225510,ERC000011,35182,10331939,2016-12-27,2017-01-06,ERS1039385,
ERR1225511,ERC000011,31199,9132355,2016-12-27,2017-01-06,ERS1039386,
ERR1225512,ERC000011,22852,6704602,2016-12-27,2017-01-06,ERS1039387,
ERR1225513,ERC000011,27133,7966045,2016-12-27,2017-01-06,ERS1039388,
ERR1225514,ERC000011,25575,7434046,2016-12-27,2017-01-06,ERS1039389,
ERR1225515,ERC000011,16516,4822061,2016-12-27,2017-01-06,ERS1039390,
ERR1225516,ERC000011,21074,6157431,2016-12-27,2017-01-06,ERS1039391,
ERR1225517,ERC000011,49606,14430983,2016-12-27,2017-01-06,ERS1039392,
ERR1225518,ERC000011,41270,12096289,2016-12-27,2017-01-06,ERS1039393,
ERR1225519,ERC000011,70524,20722177,2016-12-27,2017-01-06,ERS1039394,
ERR1225520,ERC000011,42863,12580034,2016-12-27,2017-01-06,ERS1039395,
ERR1225521,ERC000011,28553,8370510,2016-12-27,2017-01-06,ERS1039396,
ERR1225522,ERC000011,51311,14998631,2016-12-27,2017-01-06,ERS1039397,
ERR1225523,ERC000011,38573,11296213,2016-12-27,2017-01-06,ERS1039398,
ERR1225524,ERC000011,44239,12978177,2016-12-27,2017-01-06,ERS1039399,
ERR1225525,ERC000011,35251,10344894,2016-12-27,2017-01-06,ERS1039400,
ERR1225526,ERC000011,41008,12023144,2016-12-27,2017-01-06,ERS1039401,
